level,name,year,tenure,hhlds,value,change_from_prev_data_year
2_counties,Fairfield County,2018,owner,p1,45817,-1949
2_counties,Hartford County,2018,owner,p1,51471,-826
2_counties,Litchfield County,2018,owner,p1,12863,371
2_counties,Middlesex County,2018,owner,p1,11144,551
2_counties,New Haven County,2018,owner,p1,48790,2479
2_counties,New London County,2018,owner,p1,16753,1225
2_counties,Tolland County,2018,owner,p1,7710,882
2_counties,Windham County,2018,owner,p1,6571,487
2_counties,Fairfield County,2018,renter,p1,38810,1425
2_counties,Hartford County,2018,renter,p1,52135,4104
2_counties,Litchfield County,2018,renter,p1,7588,-267
2_counties,Middlesex County,2018,renter,p1,8281,999
2_counties,New Haven County,2018,renter,p1,55903,8288
2_counties,New London County,2018,renter,p1,14563,1366
2_counties,Tolland County,2018,renter,p1,6549,1263
2_counties,Windham County,2018,renter,p1,5402,400
2_counties,Fairfield County,2018,owner,p2,78905,3910
2_counties,Hartford County,2018,owner,p2,82485,187
2_counties,Litchfield County,2018,owner,p2,23047,-28
2_counties,Middlesex County,2018,owner,p2,20069,735
2_counties,New Haven County,2018,owner,p2,75424,533
2_counties,New London County,2018,owner,p2,28869,-39
2_counties,Tolland County,2018,owner,p2,16607,813
2_counties,Windham County,2018,owner,p2,12955,1120
2_counties,Fairfield County,2018,renter,p2,28197,4192
2_counties,Hartford County,2018,renter,p2,32332,1285
2_counties,Litchfield County,2018,renter,p2,4829,543
2_counties,Middlesex County,2018,renter,p2,4913,85
2_counties,New Haven County,2018,renter,p2,34070,2409
2_counties,New London County,2018,renter,p2,9595,864
2_counties,Tolland County,2018,renter,p2,4886,602
2_counties,Windham County,2018,renter,p2,3551,-214
2_counties,Fairfield County,2018,owner,p3,40493,166
2_counties,Hartford County,2018,owner,p3,38914,821
2_counties,Litchfield County,2018,owner,p3,8905,-873
2_counties,Middlesex County,2018,owner,p3,8245,30
2_counties,New Haven County,2018,owner,p3,34945,-3379
2_counties,New London County,2018,owner,p3,11136,-815
2_counties,Tolland County,2018,owner,p3,6711,-860
2_counties,Windham County,2018,owner,p3,4925,-568
2_counties,Fairfield County,2018,renter,p3,18659,3344
2_counties,Hartford County,2018,renter,p3,18438,798
2_counties,Litchfield County,2018,renter,p3,1869,-32
2_counties,Middlesex County,2018,renter,p3,2269,240
2_counties,New Haven County,2018,renter,p3,16512,398
2_counties,New London County,2018,renter,p3,6199,1209
2_counties,Tolland County,2018,renter,p3,1941,248
2_counties,Windham County,2018,renter,p3,1760,113
2_counties,Fairfield County,2018,owner,p4_or_more,63954,-7377
2_counties,Hartford County,2018,owner,p4_or_more,52242,-6136
2_counties,Litchfield County,2018,owner,p4_or_more,12264,-2736
2_counties,Middlesex County,2018,owner,p4_or_more,9804,-2850
2_counties,New Haven County,2018,owner,p4_or_more,45136,-11469
2_counties,New London County,2018,owner,p4_or_more,14701,-3158
2_counties,Tolland County,2018,owner,p4_or_more,8770,-2652
