level,name,year,tenure,hhlds,value,share
3_towns,Avon,2010,renter,4-person or more,155,0.128
3_towns,Avon,2018,renter,total,1004,NA
3_towns,Avon,2018,renter,1-person,560,0.558
3_towns,Avon,2018,renter,2-person,178,0.177
3_towns,Avon,2018,renter,3-person,99,0.099
3_towns,Avon,2018,renter,4-person or more,167,0.166
3_towns,Barkhamsted,2000,renter,total,182,NA
3_towns,Barkhamsted,2000,renter,1-person,76,0.418
3_towns,Barkhamsted,2000,renter,2-person,65,0.357
3_towns,Barkhamsted,2000,renter,3-person,25,0.137
3_towns,Barkhamsted,2000,renter,4-person or more,16,0.088
3_towns,Barkhamsted,2010,renter,total,161,NA
3_towns,Barkhamsted,2010,renter,1-person,55,0.342
3_towns,Barkhamsted,2010,renter,2-person,24,0.149
3_towns,Barkhamsted,2010,renter,3-person,59,0.366
3_towns,Barkhamsted,2010,renter,4-person or more,23,0.143
3_towns,Barkhamsted,2018,renter,total,110,NA
3_towns,Barkhamsted,2018,renter,1-person,21,0.191
3_towns,Barkhamsted,2018,renter,2-person,74,0.673
3_towns,Barkhamsted,2018,renter,3-person,8,0.073
3_towns,Barkhamsted,2018,renter,4-person or more,7,0.064
3_towns,Beacon Falls,2000,renter,total,438,NA
3_towns,Beacon Falls,2000,renter,1-person,187,0.427
3_towns,Beacon Falls,2000,renter,2-person,144,0.329
3_towns,Beacon Falls,2000,renter,3-person,53,0.121
3_towns,Beacon Falls,2000,renter,4-person or more,54,0.123
3_towns,Beacon Falls,2010,renter,total,406,NA
3_towns,Beacon Falls,2010,renter,1-person,340,0.837
3_towns,Beacon Falls,2010,renter,2-person,43,0.106
3_towns,Beacon Falls,2010,renter,3-person,17,0.042
3_towns,Beacon Falls,2010,renter,4-person or more,6,0.015
3_towns,Beacon Falls,2018,renter,total,372,NA
3_towns,Beacon Falls,2018,renter,1-person,261,0.702
3_towns,Beacon Falls,2018,renter,2-person,12,0.032
3_towns,Beacon Falls,2018,renter,3-person,56,0.151
3_towns,Beacon Falls,2018,renter,4-person or more,43,0.116
3_towns,Berlin,2000,renter,total,796,NA
3_towns,Berlin,2000,renter,1-person,368,0.462
3_towns,Berlin,2000,renter,2-person,213,0.268
3_towns,Berlin,2000,renter,3-person,108,0.136
3_towns,Berlin,2000,renter,4-person or more,107,0.134
3_towns,Berlin,2010,renter,total,784,NA
3_towns,Berlin,2010,renter,1-person,389,0.496
3_towns,Berlin,2010,renter,2-person,239,0.305
3_towns,Berlin,2010,renter,3-person,42,0.054
3_towns,Berlin,2010,renter,4-person or more,114,0.145
3_towns,Berlin,2018,renter,total,1216,NA
