name,year,tenure,commute_time,commuters,tenuer.x,tenuer.y,share
Litchfield County,2000,Renter,61 to 120 mins,1137,Renter,Renter,0.064
Litchfield County,2000,Renter,More than 120 mins,183,Renter,Renter,0.01
Litchfield County,2010,Owner,Total,77277,NA,NA,NA
Litchfield County,2010,Owner,Up to 15 mins,22728,Owner,Owner,0.294
Litchfield County,2010,Owner,16 to 30 mins,23360,Owner,Owner,0.302
Litchfield County,2010,Owner,31 to 60 mins,23416,Owner,Owner,0.303
Litchfield County,2010,Owner,61 to 120 mins,6798,Owner,Owner,0.088
Litchfield County,2010,Owner,More than 120 mins,975,Owner,Owner,0.013
Litchfield County,2010,Renter,Total,14573,NA,NA,NA
Litchfield County,2010,Renter,Up to 15 mins,5166,Renter,Renter,0.354
Litchfield County,2010,Renter,16 to 30 mins,4545,Renter,Renter,0.312
Litchfield County,2010,Renter,31 to 60 mins,4002,Renter,Renter,0.275
Litchfield County,2010,Renter,61 to 120 mins,711,Renter,Renter,0.049
Litchfield County,2010,Renter,More than 120 mins,149,Renter,Renter,0.01
Litchfield County,2018,Owner,Total,73206,NA,NA,NA
Litchfield County,2018,Owner,Up to 15 mins,18838,Owner,Owner,0.257
Litchfield County,2018,Owner,16 to 30 mins,24280,Owner,Owner,0.332
Litchfield County,2018,Owner,31 to 60 mins,21966,Owner,Owner,0.3
Litchfield County,2018,Owner,61 to 120 mins,7119,Owner,Owner,0.097
Litchfield County,2018,Owner,More than 120 mins,1003,Owner,Owner,0.014
Litchfield County,2018,Renter,Total,17327,NA,NA,NA
Litchfield County,2018,Renter,Up to 15 mins,6723,Renter,Renter,0.388
Litchfield County,2018,Renter,16 to 30 mins,4948,Renter,Renter,0.286
Litchfield County,2018,Renter,31 to 60 mins,4171,Renter,Renter,0.241
Litchfield County,2018,Renter,61 to 120 mins,1387,Renter,Renter,0.08
Litchfield County,2018,Renter,More than 120 mins,98,Renter,Renter,0.006
Middlesex County,2000,Owner,Total,58489,NA,NA,NA
Middlesex County,2000,Owner,Up to 15 mins,16710,Owner,Owner,0.286
Middlesex County,2000,Owner,16 to 30 mins,19729,Owner,Owner,0.337
Middlesex County,2000,Owner,31 to 60 mins,19223,Owner,Owner,0.329
Middlesex County,2000,Owner,61 to 120 mins,2195,Owner,Owner,0.038
