level,name,year,tenure,hhlds,value,share
3_towns,Ansonia,2018,owner,1-person,1270,0.287
3_towns,Ansonia,2018,owner,2-person,1597,0.36
3_towns,Ansonia,2018,owner,3-person,597,0.135
3_towns,Ansonia,2018,owner,4-person or more,967,0.218
3_towns,Ashford,2000,owner,total,1156,NA
3_towns,Ashford,2000,owner,1-person,184,0.159
3_towns,Ashford,2000,owner,2-person,419,0.362
3_towns,Ashford,2000,owner,3-person,215,0.186
3_towns,Ashford,2000,owner,4-person or more,338,0.292
3_towns,Ashford,2010,owner,total,1349,NA
3_towns,Ashford,2010,owner,1-person,299,0.222
3_towns,Ashford,2010,owner,2-person,536,0.397
3_towns,Ashford,2010,owner,3-person,225,0.167
3_towns,Ashford,2010,owner,4-person or more,289,0.214
3_towns,Ashford,2018,owner,total,1302,NA
3_towns,Ashford,2018,owner,1-person,288,0.221
3_towns,Ashford,2018,owner,2-person,495,0.38
3_towns,Ashford,2018,owner,3-person,295,0.227
3_towns,Ashford,2018,owner,4-person or more,224,0.172
3_towns,Avon,2000,owner,total,5316,NA
3_towns,Avon,2000,owner,1-person,1015,0.191
3_towns,Avon,2000,owner,2-person,2026,0.381
3_towns,Avon,2000,owner,3-person,806,0.152
3_towns,Avon,2000,owner,4-person or more,1469,0.276
3_towns,Avon,2010,owner,total,5578,NA
3_towns,Avon,2010,owner,1-person,1027,0.184
3_towns,Avon,2010,owner,2-person,2111,0.378
3_towns,Avon,2010,owner,3-person,738,0.132
3_towns,Avon,2010,owner,4-person or more,1702,0.305
3_towns,Avon,2018,owner,total,5964,NA
3_towns,Avon,2018,owner,1-person,1118,0.187
3_towns,Avon,2018,owner,2-person,2323,0.39
3_towns,Avon,2018,owner,3-person,883,0.148
3_towns,Avon,2018,owner,4-person or more,1640,0.275
3_towns,Barkhamsted,2000,owner,total,1152,NA
3_towns,Barkhamsted,2000,owner,1-person,149,0.129
3_towns,Barkhamsted,2000,owner,2-person,463,0.402
3_towns,Barkhamsted,2000,owner,3-person,225,0.195
3_towns,Barkhamsted,2000,owner,4-person or more,315,0.273
3_towns,Barkhamsted,2010,owner,total,1246,NA
3_towns,Barkhamsted,2010,owner,1-person,190,0.152
3_towns,Barkhamsted,2010,owner,2-person,481,0.386
3_towns,Barkhamsted,2010,owner,3-person,196,0.157
3_towns,Barkhamsted,2010,owner,4-person or more,379,0.304
3_towns,Barkhamsted,2018,owner,total,1254,NA
3_towns,Barkhamsted,2018,owner,1-person,156,0.124
3_towns,Barkhamsted,2018,owner,2-person,554,0.442
3_towns,Barkhamsted,2018,owner,3-person,202,0.161
3_towns,Barkhamsted,2018,owner,4-person or more,342,0.273
3_towns,Beacon Falls,2000,owner,total,1594,NA
3_towns,Beacon Falls,2000,owner,1-person,280,0.176
3_towns,Beacon Falls,2000,owner,2-person,547,0.343
3_towns,Beacon Falls,2000,owner,3-person,290,0.182
3_towns,Beacon Falls,2000,owner,4-person or more,477,0.299
3_towns,Beacon Falls,2010,owner,total,1872,NA
3_towns,Beacon Falls,2010,owner,1-person,275,0.147
3_towns,Beacon Falls,2010,owner,2-person,658,0.351
3_towns,Beacon Falls,2010,owner,3-person,308,0.165
3_towns,Beacon Falls,2010,owner,4-person or more,631,0.337
3_towns,Beacon Falls,2018,owner,total,2094,NA
3_towns,Beacon Falls,2018,owner,1-person,504,0.241
3_towns,Beacon Falls,2018,owner,2-person,819,0.391
3_towns,Beacon Falls,2018,owner,3-person,336,0.16
3_towns,Beacon Falls,2018,owner,4-person or more,435,0.208
3_towns,Berlin,2000,owner,total,5996,NA
3_towns,Berlin,2000,owner,1-person,1047,0.175
3_towns,Berlin,2000,owner,2-person,2005,0.334
3_towns,Berlin,2000,owner,3-person,1156,0.193
3_towns,Berlin,2000,owner,4-person or more,1788,0.298
3_towns,Berlin,2010,owner,total,6683,NA
3_towns,Berlin,2010,owner,1-person,1146,0.171
3_towns,Berlin,2010,owner,2-person,2501,0.374
3_towns,Berlin,2010,owner,3-person,1183,0.177
3_towns,Berlin,2010,owner,4-person or more,1853,0.277
3_towns,Berlin,2018,owner,total,7027,NA
3_towns,Berlin,2018,owner,1-person,1420,0.202
3_towns,Berlin,2018,owner,2-person,2876,0.409
3_towns,Berlin,2018,owner,3-person,1075,0.153
3_towns,Berlin,2018,owner,4-person or more,1656,0.236
3_towns,Bethany,2000,owner,total,1609,NA
3_towns,Bethany,2000,owner,1-person,192,0.119
3_towns,Bethany,2000,owner,2-person,556,0.346
3_towns,Bethany,2000,owner,3-person,328,0.204
3_towns,Bethany,2000,owner,4-person or more,533,0.331
3_towns,Bethany,2010,owner,total,1795,NA
3_towns,Bethany,2010,owner,1-person,211,0.118
3_towns,Bethany,2010,owner,2-person,659,0.367
3_towns,Bethany,2010,owner,3-person,330,0.184
3_towns,Bethany,2010,owner,4-person or more,595,0.331
3_towns,Bethany,2018,owner,total,1800,NA
3_towns,Bethany,2018,owner,1-person,214,0.119
3_towns,Bethany,2018,owner,2-person,823,0.457
3_towns,Bethany,2018,owner,3-person,273,0.152
3_towns,Bethany,2018,owner,4-person or more,490,0.272
3_towns,Bethel,2000,owner,total,4983,NA
3_towns,Bethel,2000,owner,1-person,692,0.139
3_towns,Bethel,2000,owner,2-person,1591,0.319
3_towns,Bethel,2000,owner,3-person,945,0.19
3_towns,Bethel,2000,owner,4-person or more,1755,0.352
3_towns,Bethel,2010,owner,total,5191,NA
3_towns,Bethel,2010,owner,1-person,699,0.135
3_towns,Bethel,2010,owner,2-person,1953,0.376
3_towns,Bethel,2010,owner,3-person,1045,0.201
3_towns,Bethel,2010,owner,4-person or more,1494,0.288
3_towns,Bethel,2018,owner,total,5684,NA
3_towns,Bethel,2018,owner,1-person,1186,0.209
3_towns,Bethel,2018,owner,2-person,1776,0.312
3_towns,Bethel,2018,owner,3-person,1085,0.191
3_towns,Bethel,2018,owner,4-person or more,1637,0.288
3_towns,Bethlehem,2000,owner,total,1065,NA
3_towns,Bethlehem,2000,owner,1-person,158,0.148
3_towns,Bethlehem,2000,owner,2-person,384,0.361
3_towns,Bethlehem,2000,owner,3-person,208,0.195
3_towns,Bethlehem,2000,owner,4-person or more,315,0.296
3_towns,Bethlehem,2010,owner,total,1288,NA
3_towns,Bethlehem,2010,owner,1-person,202,0.157
3_towns,Bethlehem,2010,owner,2-person,631,0.49
3_towns,Bethlehem,2010,owner,3-person,143,0.111
3_towns,Bethlehem,2010,owner,4-person or more,312,0.242
3_towns,Bethlehem,2018,owner,total,1130,NA
3_towns,Bethlehem,2018,owner,1-person,252,0.223
3_towns,Bethlehem,2018,owner,2-person,457,0.404
3_towns,Bethlehem,2018,owner,3-person,168,0.149
3_towns,Bethlehem,2018,owner,4-person or more,253,0.224
3_towns,Bloomfield,2000,owner,total,5916,NA
3_towns,Bloomfield,2000,owner,1-person,1351,0.228
3_towns,Bloomfield,2000,owner,2-person,2247,0.38
3_towns,Bloomfield,2000,owner,3-person,949,0.16
3_towns,Bloomfield,2000,owner,4-person or more,1369,0.231
3_towns,Bloomfield,2010,owner,total,6521,NA
3_towns,Bloomfield,2010,owner,1-person,1621,0.249
3_towns,Bloomfield,2010,owner,2-person,2587,0.397
3_towns,Bloomfield,2010,owner,3-person,995,0.153
3_towns,Bloomfield,2010,owner,4-person or more,1318,0.202
3_towns,Bloomfield,2018,owner,total,6240,NA
3_towns,Bloomfield,2018,owner,1-person,1644,0.263
3_towns,Bloomfield,2018,owner,2-person,2389,0.383
3_towns,Bloomfield,2018,owner,3-person,1113,0.178
3_towns,Bloomfield,2018,owner,4-person or more,1094,0.175
3_towns,Bolton,2000,owner,total,1629,NA
3_towns,Bolton,2000,owner,1-person,236,0.145
3_towns,Bolton,2000,owner,2-person,641,0.393
3_towns,Bolton,2000,owner,3-person,259,0.159
3_towns,Bolton,2000,owner,4-person or more,493,0.303
3_towns,Bolton,2010,owner,total,1699,NA
3_towns,Bolton,2010,owner,1-person,332,0.195
3_towns,Bolton,2010,owner,2-person,729,0.429
3_towns,Bolton,2010,owner,3-person,264,0.155
3_towns,Bolton,2010,owner,4-person or more,374,0.22
3_towns,Bolton,2018,owner,total,1610,NA
3_towns,Bolton,2018,owner,1-person,250,0.155
3_towns,Bolton,2018,owner,2-person,730,0.453
3_towns,Bolton,2018,owner,3-person,208,0.129
3_towns,Bolton,2018,owner,4-person or more,422,0.262
3_towns,Bozrah,2000,owner,total,725,NA
3_towns,Bozrah,2000,owner,1-person,106,0.146
3_towns,Bozrah,2000,owner,2-person,279,0.385
3_towns,Bozrah,2000,owner,3-person,147,0.203
3_towns,Bozrah,2000,owner,4-person or more,193,0.266
3_towns,Bozrah,2010,owner,total,917,NA
3_towns,Bozrah,2010,owner,1-person,165,0.18
3_towns,Bozrah,2010,owner,2-person,370,0.403
3_towns,Bozrah,2010,owner,3-person,227,0.248
3_towns,Bozrah,2010,owner,4-person or more,155,0.169
3_towns,Bozrah,2018,owner,total,851,NA
3_towns,Bozrah,2018,owner,1-person,125,0.147
3_towns,Bozrah,2018,owner,2-person,367,0.431
3_towns,Bozrah,2018,owner,3-person,155,0.182
3_towns,Bozrah,2018,owner,4-person or more,204,0.24
