year,level,geoid,name,county,age,measure,estimate
2003,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,5207
2003,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,10646
2003,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,1594
2003,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,-2344
2003,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-33
2003,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,784
2003,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,2564
2004,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,11758
2004,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-2419
2004,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-2531
2004,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-436
2004,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,4534
2004,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,4664
2004,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,1218
2004,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,-8821
2004,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-8907
2004,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,38
2004,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,5302
2004,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,5317
2004,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,6458
2004,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,6964
2004,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,1788
2004,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,-2580
2004,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-1329
2004,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,1074
2004,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,1424
2005,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,10862
2005,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-3132
2005,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-3389
2005,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-3885
2005,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,6386
2005,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,6375
2005,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,1257
2005,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,-9999
2005,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-5092
2005,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-3192
2005,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,5123
2005,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,6692
2005,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,8099
2005,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,4827
2005,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,1151
2005,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,-1883
2005,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-1300
2005,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,496
2005,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,2328
2006,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,10504
2006,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-2503
2006,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-2453
2006,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-2502
2006,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,3336
2006,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,4313
2006,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,1958
2006,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,-7903
2006,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-4954
2006,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-4772
2006,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,4024
2006,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,8073
2006,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,7202
2006,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,5829
2006,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,2123
2006,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,-1830
2006,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,-1045
2006,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-745
2006,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,2353
2007,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,9810
2007,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-1486
2007,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-2594
