name,race2,cost_burden,value,value_se,share,sharemoe
Tolland County,Latino,Cost-burdened,486,149.10053662024305,0.219,0.057
Tolland County,Latino,Severely cost-burdened,342,128.02568402461242,0.154,0.052
Tolland County,Other race,Total,2640,303.47422791704554,NA,NA
Tolland County,Other race,No burden,1640,243.93596489017665,0.621,0.059
Tolland County,Other race,Cost-burdened,321,94.43340039625622,0.122,0.033
Tolland County,Other race,Severely cost-burdened,679,154.03508415801588,0.257,0.05
Windham County,White,Total,38925,1025.250028060805,NA,NA
Windham County,White,No burden,27333,844.4711031931461,0.702,0.011
Windham County,White,Cost-burdened,6871,467.6061825426607,0.177,0.011
Windham County,White,Severely cost-burdened,4721,359.5041167436834,0.121,0.009
Windham County,Black,Total,545,143.7674737111406,NA,NA
Windham County,Black,No burden,245,81.16799416596652,0.45,0.09
Windham County,Black,Cost-burdened,99,68.70901003928735,0.182,0.117
Windham County,Black,Severely cost-burdened,201,96.76032483263513,0.369,0.149
Windham County,Latino,Total,3767,389.7411974522217,NA,NA
Windham County,Latino,No burden,2225,304.8740887139225,0.591,0.053
Windham County,Latino,Cost-burdened,1043,206.44175543086575,0.277,0.047
Windham County,Latino,Severely cost-burdened,499,128.23301733095087,0.132,0.031
Windham County,Other race,Total,1226,202.50751969328624,NA,NA
Windham County,Other race,No burden,688,151.94612162224684,0.561,0.082
Windham County,Other race,Cost-burdened,312,103.62805399582851,0.254,0.073
Windham County,Other race,Severely cost-burdened,226,84.82557752413153,0.184,0.062
