level,geoid,name,year,county,var,estimate,moe,share,sharemoe
2_counties,09001,Fairfield County,2005,NA,white,630569,NA,0.702,NA
2_counties,09001,Fairfield County,2005,NA,black,90971,NA,0.101,NA
2_counties,09001,Fairfield County,2005,NA,latino,128780,NA,0.143,NA
2_counties,09001,Fairfield County,2005,NA,asian,36657,NA,0.041,NA
2_counties,09001,Fairfield County,2005,NA,other_race,10676,NA,0.012,NA
2_counties,09001,Fairfield County,2006,NA,total_pop,896254,NA,NA,NA
2_counties,09001,Fairfield County,2006,NA,white,622859,NA,0.695,NA
2_counties,09001,Fairfield County,2006,NA,black,91051,NA,0.102,NA
2_counties,09001,Fairfield County,2006,NA,latino,133361,NA,0.149,NA
2_counties,09001,Fairfield County,2006,NA,asian,37910,NA,0.042,NA
2_counties,09001,Fairfield County,2006,NA,other_race,11073,NA,0.012,NA
2_counties,09001,Fairfield County,2007,NA,total_pop,897498,NA,NA,NA
2_counties,09001,Fairfield County,2007,NA,white,617516,NA,0.688,NA
2_counties,09001,Fairfield County,2007,NA,black,91177,NA,0.102,NA
2_counties,09001,Fairfield County,2007,NA,latino,138513,NA,0.154,NA
2_counties,09001,Fairfield County,2007,NA,asian,38899,NA,0.043,NA
2_counties,09001,Fairfield County,2007,NA,other_race,11393,NA,0.013,NA
2_counties,09001,Fairfield County,2008,NA,total_pop,903824,NA,NA,NA
2_counties,09001,Fairfield County,2008,NA,white,615675,NA,0.681,NA
2_counties,09001,Fairfield County,2008,NA,black,91903,NA,0.102,NA
2_counties,09001,Fairfield County,2008,NA,latino,144144,NA,0.159,NA
2_counties,09001,Fairfield County,2008,NA,asian,40274,NA,0.045,NA
2_counties,09001,Fairfield County,2008,NA,other_race,11828,NA,0.013,NA
2_counties,09001,Fairfield County,2009,NA,total_pop,910421,NA,NA,NA
2_counties,09001,Fairfield County,2009,NA,white,613058,NA,0.673,NA
2_counties,09001,Fairfield County,2009,NA,black,93212,NA,0.102,NA
2_counties,09001,Fairfield County,2009,NA,latino,150371,NA,0.165,NA
2_counties,09001,Fairfield County,2009,NA,asian,41511,NA,0.046,NA
2_counties,09001,Fairfield County,2009,NA,other_race,12269,NA,0.013,NA
2_counties,09001,Fairfield County,2010,NA,total_pop,916829,0,NA,NA
2_counties,09001,Fairfield County,2010,NA,latino,155025,0,0.169,NA
2_counties,09001,Fairfield County,2010,NA,white,606716,0,0.662,NA
2_counties,09001,Fairfield County,2010,NA,black,92705,0,0.101,NA
2_counties,09001,Fairfield County,2010,NA,asian,41801,0,0.046,NA
2_counties,09001,Fairfield County,2010,NA,other_race,20582,0,0.022,NA
2_counties,09001,Fairfield County,2011,NA,total_pop,911196,NA,NA,NA
2_counties,09001,Fairfield County,2011,NA,latino,149907,NA,0.165,NA
2_counties,09001,Fairfield County,2011,NA,white,609542,965,0.669,NA
2_counties,09001,Fairfield County,2011,NA,black,93170,925,0.102,NA
2_counties,09001,Fairfield County,2011,NA,asian,41248,795,0.045,NA
2_counties,09001,Fairfield County,2011,NA,other_race,17329,1482,0.019,NA
2_counties,09001,Fairfield County,2012,NA,total_pop,918892,NA,NA,NA
2_counties,09001,Fairfield County,2012,NA,latino,155557,NA,0.169,NA
2_counties,09001,Fairfield County,2012,NA,white,608561,934,0.662,NA
2_counties,09001,Fairfield County,2012,NA,black,94363,832,0.103,NA
2_counties,09001,Fairfield County,2012,NA,asian,42586,649,0.046,NA
2_counties,09001,Fairfield County,2012,NA,other_race,17825,1387,0.019,NA
2_counties,09001,Fairfield County,2013,NA,total_pop,926233,NA,NA,NA
2_counties,09001,Fairfield County,2013,NA,latino,161055,NA,0.174,NA
2_counties,09001,Fairfield County,2013,NA,white,606763,835,0.655,NA
2_counties,09001,Fairfield County,2013,NA,black,95159,779,0.103,NA
2_counties,09001,Fairfield County,2013,NA,asian,43498,796,0.047,NA
2_counties,09001,Fairfield County,2013,NA,other_race,19758,1482,0.021,NA
2_counties,09001,Fairfield County,2014,NA,total_pop,934215,NA,NA,NA
2_counties,09001,Fairfield County,2014,NA,latino,167047,NA,0.179,NA
2_counties,09001,Fairfield County,2014,NA,white,605136,742,0.648,NA
2_counties,09001,Fairfield County,2014,NA,black,96438,958,0.103,NA
2_counties,09001,Fairfield County,2014,NA,asian,45217,735,0.048,NA
2_counties,09001,Fairfield County,2014,NA,other_race,20377,1536,0.022,NA
2_counties,09001,Fairfield County,2015,NA,total_pop,939983,NA,NA,NA
2_counties,09001,Fairfield County,2015,NA,latino,171720,NA,0.183,NA
2_counties,09001,Fairfield County,2015,NA,white,602311,662,0.641,NA
