level,name,year,tenure,hhlds,value
3_towns,Bridgewater,2000,renter,p4_or_more,11
3_towns,Bristol,2000,total,total,24886
3_towns,Bristol,2000,owner,total,15410
3_towns,Bristol,2000,owner,p1,2978
3_towns,Bristol,2000,owner,p2,5773
3_towns,Bristol,2000,owner,p3,2788
3_towns,Bristol,2000,owner,p4_or_more,3871
3_towns,Bristol,2000,renter,total,9476
3_towns,Bristol,2000,renter,p1,4202
3_towns,Bristol,2000,renter,p2,2717
3_towns,Bristol,2000,renter,p3,1299
3_towns,Bristol,2000,renter,p4_or_more,1258
3_towns,Brookfield,2000,total,total,5572
3_towns,Brookfield,2000,owner,total,4960
3_towns,Brookfield,2000,owner,p1,738
3_towns,Brookfield,2000,owner,p2,1625
3_towns,Brookfield,2000,owner,p3,964
3_towns,Brookfield,2000,owner,p4_or_more,1633
3_towns,Brookfield,2000,renter,total,612
3_towns,Brookfield,2000,renter,p1,223
3_towns,Brookfield,2000,renter,p2,205
3_towns,Brookfield,2000,renter,p3,91
3_towns,Brookfield,2000,renter,p4_or_more,93
3_towns,Brooklyn,2000,total,total,2531
3_towns,Brooklyn,2000,owner,total,1865
3_towns,Brooklyn,2000,owner,p1,272
3_towns,Brooklyn,2000,owner,p2,707
3_towns,Brooklyn,2000,owner,p3,340
3_towns,Brooklyn,2000,owner,p4_or_more,546
3_towns,Brooklyn,2000,renter,total,666
3_towns,Brooklyn,2000,renter,p1,281
3_towns,Brooklyn,2000,renter,p2,188
3_towns,Brooklyn,2000,renter,p3,104
3_towns,Brooklyn,2000,renter,p4_or_more,93
3_towns,Burlington,2000,total,total,2840
3_towns,Burlington,2000,owner,total,2695
3_towns,Burlington,2000,owner,p1,280
3_towns,Burlington,2000,owner,p2,977
3_towns,Burlington,2000,owner,p3,523
3_towns,Burlington,2000,owner,p4_or_more,915
3_towns,Burlington,2000,renter,total,145
3_towns,Burlington,2000,renter,p1,39
3_towns,Burlington,2000,renter,p2,50
3_towns,Burlington,2000,renter,p3,26
3_towns,Burlington,2000,renter,p4_or_more,30
3_towns,Canaan,2000,total,total,445
3_towns,Canaan,2000,owner,total,358
3_towns,Canaan,2000,owner,p1,87
3_towns,Canaan,2000,owner,p2,126
3_towns,Canaan,2000,owner,p3,55
3_towns,Canaan,2000,owner,p4_or_more,90
3_towns,Canaan,2000,renter,total,87
3_towns,Canaan,2000,renter,p1,36
3_towns,Canaan,2000,renter,p2,27
3_towns,Canaan,2000,renter,p3,8
3_towns,Canaan,2000,renter,p4_or_more,16
3_towns,Canterbury,2000,total,total,1717
3_towns,Canterbury,2000,owner,total,1477
3_towns,Canterbury,2000,owner,p1,191
3_towns,Canterbury,2000,owner,p2,517
3_towns,Canterbury,2000,owner,p3,328
3_towns,Canterbury,2000,owner,p4_or_more,441
3_towns,Canterbury,2000,renter,total,240
3_towns,Canterbury,2000,renter,p1,95
3_towns,Canterbury,2000,renter,p2,72
3_towns,Canterbury,2000,renter,p3,41
3_towns,Canterbury,2000,renter,p4_or_more,32
3_towns,Canton,2000,total,total,3516
3_towns,Canton,2000,owner,total,2835
3_towns,Canton,2000,owner,p1,528
3_towns,Canton,2000,owner,p2,1065
3_towns,Canton,2000,owner,p3,477
3_towns,Canton,2000,owner,p4_or_more,765
3_towns,Canton,2000,renter,total,681
3_towns,Canton,2000,renter,p1,327
3_towns,Canton,2000,renter,p2,204
3_towns,Canton,2000,renter,p3,79
3_towns,Canton,2000,renter,p4_or_more,71
3_towns,Chaplin,2000,total,total,858
3_towns,Chaplin,2000,owner,total,677
3_towns,Chaplin,2000,owner,p1,113
3_towns,Chaplin,2000,owner,p2,250
3_towns,Chaplin,2000,owner,p3,125
3_towns,Chaplin,2000,owner,p4_or_more,189
3_towns,Chaplin,2000,renter,total,181
3_towns,Chaplin,2000,renter,p1,62
3_towns,Chaplin,2000,renter,p2,52
3_towns,Chaplin,2000,renter,p3,32
3_towns,Chaplin,2000,renter,p4_or_more,35
3_towns,Cheshire,2000,total,total,9349
3_towns,Cheshire,2000,owner,total,8097
3_towns,Cheshire,2000,owner,p1,1193
3_towns,Cheshire,2000,owner,p2,2740
3_towns,Cheshire,2000,owner,p3,1523
3_towns,Cheshire,2000,owner,p4_or_more,2641
3_towns,Cheshire,2000,renter,total,1252
3_towns,Cheshire,2000,renter,p1,622
3_towns,Cheshire,2000,renter,p2,343
3_towns,Cheshire,2000,renter,p3,159
3_towns,Cheshire,2000,renter,p4_or_more,128
3_towns,Chester,2000,total,total,1510
3_towns,Chester,2000,owner,total,1122
3_towns,Chester,2000,owner,p1,228
3_towns,Chester,2000,owner,p2,427
3_towns,Chester,2000,owner,p3,191
3_towns,Chester,2000,owner,p4_or_more,276
3_towns,Chester,2000,renter,total,388
3_towns,Chester,2000,renter,p1,197
3_towns,Chester,2000,renter,p2,115
3_towns,Chester,2000,renter,p3,40
3_towns,Chester,2000,renter,p4_or_more,36
3_towns,Clinton,2000,total,total,5134
3_towns,Clinton,2000,owner,total,4098
3_towns,Clinton,2000,owner,p1,805
3_towns,Clinton,2000,owner,p2,1463
3_towns,Clinton,2000,owner,p3,759
3_towns,Clinton,2000,owner,p4_or_more,1071
3_towns,Clinton,2000,renter,total,1036
3_towns,Clinton,2000,renter,p1,411
3_towns,Clinton,2000,renter,p2,293
3_towns,Clinton,2000,renter,p3,162
3_towns,Clinton,2000,renter,p4_or_more,170
3_towns,Colchester,2000,total,total,5225
3_towns,Colchester,2000,owner,total,4027
3_towns,Colchester,2000,owner,p1,513
3_towns,Colchester,2000,owner,p2,1371
3_towns,Colchester,2000,owner,p3,740
3_towns,Colchester,2000,owner,p4_or_more,1403
3_towns,Colchester,2000,renter,total,1198
3_towns,Colchester,2000,renter,p1,440
3_towns,Colchester,2000,renter,p2,370
3_towns,Colchester,2000,renter,p3,188
3_towns,Colchester,2000,renter,p4_or_more,200
3_towns,Colebrook,2000,total,total,566
3_towns,Colebrook,2000,owner,total,487
3_towns,Colebrook,2000,owner,p1,85
3_towns,Colebrook,2000,owner,p2,198
3_towns,Colebrook,2000,owner,p3,75
3_towns,Colebrook,2000,owner,p4_or_more,129
3_towns,Colebrook,2000,renter,total,79
3_towns,Colebrook,2000,renter,p1,26
3_towns,Colebrook,2000,renter,p2,25
3_towns,Colebrook,2000,renter,p3,11
3_towns,Colebrook,2000,renter,p4_or_more,17
3_towns,Columbia,2000,total,total,1864
3_towns,Columbia,2000,owner,total,1709
3_towns,Columbia,2000,owner,p1,268
3_towns,Columbia,2000,owner,p2,661
3_towns,Columbia,2000,owner,p3,297
3_towns,Columbia,2000,owner,p4_or_more,483
3_towns,Columbia,2000,renter,total,155
3_towns,Columbia,2000,renter,p1,55
3_towns,Columbia,2000,renter,p2,54
3_towns,Columbia,2000,renter,p3,29
3_towns,Columbia,2000,renter,p4_or_more,17
3_towns,Cornwall,2000,total,total,615
3_towns,Cornwall,2000,owner,total,493
3_towns,Cornwall,2000,owner,p1,134
3_towns,Cornwall,2000,owner,p2,195
3_towns,Cornwall,2000,owner,p3,66
3_towns,Cornwall,2000,owner,p4_or_more,98
3_towns,Cornwall,2000,renter,total,122
3_towns,Cornwall,2000,renter,p1,55
