name,age_band,inc_band,value,value_se,share,sharemoe
New London County,35-64,Mid-high,10980,571.4537225028223,0.175,0.008
New London County,35-64,High,30486,846.8440743236587,0.486,0.009
New London County,65 and up,Total,26285,738.7481366406261,NA,NA
New London County,65 and up,Very low,4939,364.49614479058044,0.188,0.013
New London County,65 and up,Low,3875,286.1424850645385,0.147,0.01
New London County,65 and up,Mid-low,4648,313.61354852855504,0.177,0.011
New London County,65 and up,Mid-high,5291,323.4316712720885,0.201,0.011
New London County,65 and up,High,7532,368.47326792601183,0.287,0.011
Tolland County,Under 35,Total,10363,683.825150712738,NA,NA
Tolland County,Under 35,Very low,2467,349.211313148121,0.238,0.03
Tolland County,Under 35,Low,1523,268.08799059304135,0.147,0.024
Tolland County,Under 35,Mid-low,1637,258.31762710540187,0.158,0.023
Tolland County,Under 35,Mid-high,2072,309.4294098541012,0.2,0.027
Tolland County,Under 35,High,2664,335.44760194161677,0.257,0.028
Tolland County,35-64,Total,32055,975.1438934897111,NA,NA
Tolland County,35-64,Very low,2819,318.609326087015,0.088,0.01
Tolland County,35-64,Low,2673,319.1320451020531,0.083,0.01
Tolland County,35-64,Mid-low,3923,370.19319605787723,0.122,0.011
Tolland County,35-64,Mid-high,5937,404.53203521286827,0.185,0.011
Tolland County,35-64,High,16703,675.6690444565046,0.521,0.014
Tolland County,65 and up,Total,12800,561.8774925874234,NA,NA
Tolland County,65 and up,Very low,2436,261.0841473226197,0.19,0.019
Tolland County,65 and up,Low,2485,247.18094033047072,0.194,0.017
Tolland County,65 and up,Mid-low,2479,254.1158953455847,0.194,0.018
Tolland County,65 and up,Mid-high,2571,251.97677212633639,0.201,0.018
Tolland County,65 and up,High,2829,245.4190666208661,0.221,0.017
Windham County,Under 35,Total,7326,519.7959178273042,NA,NA
Windham County,Under 35,Very low,791,167.02255750792074,0.108,0.021
Windham County,Under 35,Low,1072,219.27244962747383,0.146,0.028
Windham County,Under 35,Mid-low,1156,201.1905793637221,0.158,0.025
Windham County,Under 35,Mid-high,1987,254.5191681449788,0.271,0.029
Windham County,Under 35,High,2320,299.22741728624607,0.317,0.034
Windham County,35-64,Total,27247,886.1145158339597,NA,NA
Windham County,35-64,Very low,3093,303.8960900978724,0.114,0.011
Windham County,35-64,Low,1905,256.4498788307491,0.07,0.009
Windham County,35-64,Mid-low,3587,354.75424938280844,0.132,0.012
Windham County,35-64,Mid-high,5300,404.49045937983726,0.195,0.013
Windham County,35-64,High,13362,587.2261216379044,0.49,0.014
Windham County,65 and up,Total,9890,467.281462828052,NA,NA
Windham County,65 and up,Very low,1952,227.8964181342487,0.197,0.021
Windham County,65 and up,Low,1613,188.88795977217134,0.163,0.017
Windham County,65 and up,Mid-low,2215,240.64567843151113,0.224,0.022
Windham County,65 and up,Mid-high,1713,177.2340005299322,0.173,0.016
Windham County,65 and up,High,2397,206.1946603388124,0.242,0.017
