year,name,tenure,type,mkt,units,share
2010,Litchfield County,For sale,Multifamily,Occupied,5021,0.992
2010,Litchfield County,For sale,Multifamily,Vacant,40,0.008
2010,Litchfield County,For sale,Single family,Total,55928,NA
2010,Litchfield County,For sale,Single family,Occupied,55316,0.989
2010,Litchfield County,For sale,Single family,Vacant,612,0.011
2010,Middlesex County,For rent,Multifamily,Total,12721,NA
2010,Middlesex County,For rent,Multifamily,Occupied,11800,0.928
2010,Middlesex County,For rent,Multifamily,Vacant,921,0.072
2010,Middlesex County,For rent,Single family,Total,4276,NA
2010,Middlesex County,For rent,Single family,Occupied,4149,0.97
2010,Middlesex County,For rent,Single family,Vacant,127,0.03
2010,Middlesex County,For sale,Multifamily,Total,4140,NA
2010,Middlesex County,For sale,Multifamily,Occupied,3903,0.943
2010,Middlesex County,For sale,Multifamily,Vacant,237,0.057
2010,Middlesex County,For sale,Single family,Total,47941,NA
2010,Middlesex County,For sale,Single family,Occupied,47124,0.983
2010,Middlesex County,For sale,Single family,Vacant,817,0.017
2010,New Haven County,For rent,Multifamily,Total,104446,NA
2010,New Haven County,For rent,Multifamily,Occupied,96147,0.921
2010,New Haven County,For rent,Multifamily,Vacant,8299,0.079
2010,New Haven County,For rent,Single family,Total,19586,NA
2010,New Haven County,For rent,Single family,Occupied,18587,0.949
2010,New Haven County,For rent,Single family,Vacant,999,0.051
2010,New Haven County,For sale,Multifamily,Total,29168,NA
2010,New Haven County,For sale,Multifamily,Occupied,28253,0.969
2010,New Haven County,For sale,Multifamily,Vacant,915,0.031
2010,New Haven County,For sale,Single family,Total,189986,NA
2010,New Haven County,For sale,Single family,Occupied,187796,0.988
2010,New Haven County,For sale,Single family,Vacant,2190,0.012
2010,New London County,For rent,Multifamily,Total,25044,NA
2010,New London County,For rent,Multifamily,Occupied,23171,0.925
2010,New London County,For rent,Multifamily,Vacant,1873,0.075
2010,New London County,For rent,Single family,Total,9073,NA
2010,New London County,For rent,Single family,Occupied,8848,0.975
2010,New London County,For rent,Single family,Vacant,225,0.025
2010,New London County,For sale,Multifamily,Total,5769,NA
2010,New London County,For sale,Multifamily,Occupied,5469,0.948
2010,New London County,For sale,Multifamily,Vacant,300,0.052
2010,New London County,For sale,Single family,Total,69954,NA
2010,New London County,For sale,Single family,Occupied,69102,0.988
2010,New London County,For sale,Single family,Vacant,852,0.012
2010,Tolland County,For rent,Multifamily,Total,10616,NA
2010,Tolland County,For rent,Multifamily,Occupied,10064,0.948
2010,Tolland County,For rent,Multifamily,Vacant,552,0.052
2010,Tolland County,For rent,Single family,Total,2689,NA
2010,Tolland County,For rent,Single family,Occupied,2669,0.993
2010,Tolland County,For rent,Single family,Vacant,20,0.007
2010,Tolland County,For sale,Multifamily,Total,1772,NA
2010,Tolland County,For sale,Multifamily,Occupied,1671,0.943
2010,Tolland County,For sale,Multifamily,Vacant,101,0.057
2010,Tolland County,For sale,Single family,Total,30331,NA
2010,Tolland County,For sale,Single family,Occupied,29917,0.986
2010,Tolland County,For sale,Single family,Vacant,414,0.014
2010,Windham County,For rent,Multifamily,Total,11183,NA
2010,Windham County,For rent,Multifamily,Occupied,10602,0.948
2010,Windham County,For rent,Multifamily,Vacant,581,0.052
2010,Windham County,For rent,Single family,Total,2356,NA
2010,Windham County,For rent,Single family,Occupied,2263,0.961
2010,Windham County,For rent,Single family,Vacant,93,0.039
2010,Windham County,For sale,Multifamily,Total,2014,NA
2010,Windham County,For sale,Multifamily,Occupied,2014,1
2010,Windham County,For sale,Multifamily,Vacant,0,0
2010,Windham County,For sale,Single family,Total,39942,NA
2010,Windham County,For sale,Single family,Occupied,39574,0.991
2010,Windham County,For sale,Single family,Vacant,368,0.009
2018,Fairfield County,For rent,Multifamily,Total,93642,NA
2018,Fairfield County,For rent,Multifamily,Occupied,88098,0.941
2018,Fairfield County,For rent,Multifamily,Vacant,5544,0.059
2018,Fairfield County,For rent,Single family,Total,27294,NA
2018,Fairfield County,For rent,Single family,Occupied,26278,0.963
2018,Fairfield County,For rent,Single family,Vacant,1016,0.037
2018,Fairfield County,For sale,Multifamily,Total,30943,NA
2018,Fairfield County,For sale,Multifamily,Occupied,30056,0.971
2018,Fairfield County,For sale,Multifamily,Vacant,887,0.029
2018,Fairfield County,For sale,Single family,Total,199759,NA
2018,Fairfield County,For sale,Single family,Occupied,196060,0.981
2018,Fairfield County,For sale,Single family,Vacant,3699,0.019
2018,Hartford County,For rent,Multifamily,Total,110827,NA
2018,Hartford County,For rent,Multifamily,Occupied,103007,0.929
2018,Hartford County,For rent,Multifamily,Vacant,7820,0.071
2018,Hartford County,For rent,Single family,Total,23408,NA
2018,Hartford County,For rent,Single family,Occupied,22694,0.969
2018,Hartford County,For rent,Single family,Vacant,714,0.031
2018,Hartford County,For sale,Multifamily,Total,22873,NA
2018,Hartford County,For sale,Multifamily,Occupied,21927,0.959
2018,Hartford County,For sale,Multifamily,Vacant,946,0.041
2018,Hartford County,For sale,Single family,Total,204409,NA
2018,Hartford County,For sale,Single family,Occupied,201435,0.985
2018,Hartford County,For sale,Single family,Vacant,2974,0.015
2018,Litchfield County,For rent,Multifamily,Total,12803,NA
2018,Litchfield County,For rent,Multifamily,Occupied,12265,0.958
2018,Litchfield County,For rent,Multifamily,Vacant,538,0.042
2018,Litchfield County,For rent,Single family,Total,5248,NA
2018,Litchfield County,For rent,Single family,Occupied,4766,0.908
2018,Litchfield County,For rent,Single family,Vacant,482,0.092
2018,Litchfield County,For sale,Multifamily,Total,4897,NA
2018,Litchfield County,For sale,Multifamily,Occupied,4736,0.967
2018,Litchfield County,For sale,Multifamily,Vacant,161,0.033
2018,Litchfield County,For sale,Single family,Total,53154,NA
2018,Litchfield County,For sale,Single family,Occupied,52220,0.982
2018,Litchfield County,For sale,Single family,Vacant,934,0.018
2018,Middlesex County,For rent,Multifamily,Total,14454,NA
2018,Middlesex County,For rent,Multifamily,Occupied,13093,0.906
2018,Middlesex County,For rent,Multifamily,Vacant,1361,0.094
2018,Middlesex County,For rent,Single family,Total,4818,NA
2018,Middlesex County,For rent,Single family,Occupied,4724,0.98
2018,Middlesex County,For rent,Single family,Vacant,94,0.02
2018,Middlesex County,For sale,Multifamily,Total,3190,NA
2018,Middlesex County,For sale,Multifamily,Occupied,2864,0.898
2018,Middlesex County,For sale,Multifamily,Vacant,326,0.102
2018,Middlesex County,For sale,Single family,Total,47060,NA
2018,Middlesex County,For sale,Single family,Occupied,46212,0.982
2018,Middlesex County,For sale,Single family,Vacant,848,0.018
2018,New Haven County,For rent,Multifamily,Total,112806,NA
2018,New Haven County,For rent,Multifamily,Occupied,103396,0.917
2018,New Haven County,For rent,Multifamily,Vacant,9410,0.083
2018,New Haven County,For rent,Single family,Total,24916,NA
