level,name,year,tenure,hhlds,value,share
3_towns,Ashford,2018,owner,total,1302,NA
3_towns,Ashford,2018,owner,p1,288,0.221
3_towns,Ashford,2018,owner,p2,495,0.38
3_towns,Ashford,2018,owner,p3,295,0.227
3_towns,Ashford,2018,owner,p4_or_more,224,0.172
3_towns,Avon,2000,owner,total,5316,NA
3_towns,Avon,2000,owner,p1,1015,0.191
3_towns,Avon,2000,owner,p2,2026,0.381
3_towns,Avon,2000,owner,p3,806,0.152
3_towns,Avon,2000,owner,p4_or_more,1469,0.276
3_towns,Avon,2010,owner,total,5578,NA
3_towns,Avon,2010,owner,p1,1027,0.184
3_towns,Avon,2010,owner,p2,2111,0.378
3_towns,Avon,2010,owner,p3,738,0.132
3_towns,Avon,2010,owner,p4_or_more,1702,0.305
3_towns,Avon,2018,owner,total,5964,NA
3_towns,Avon,2018,owner,p1,1118,0.187
3_towns,Avon,2018,owner,p2,2323,0.39
3_towns,Avon,2018,owner,p3,883,0.148
3_towns,Avon,2018,owner,p4_or_more,1640,0.275
3_towns,Barkhamsted,2000,owner,total,1152,NA
3_towns,Barkhamsted,2000,owner,p1,149,0.129
3_towns,Barkhamsted,2000,owner,p2,463,0.402
3_towns,Barkhamsted,2000,owner,p3,225,0.195
3_towns,Barkhamsted,2000,owner,p4_or_more,315,0.273
3_towns,Barkhamsted,2010,owner,total,1246,NA
3_towns,Barkhamsted,2010,owner,p1,190,0.152
3_towns,Barkhamsted,2010,owner,p2,481,0.386
3_towns,Barkhamsted,2010,owner,p3,196,0.157
3_towns,Barkhamsted,2010,owner,p4_or_more,379,0.304
3_towns,Barkhamsted,2018,owner,total,1254,NA
3_towns,Barkhamsted,2018,owner,p1,156,0.124
3_towns,Barkhamsted,2018,owner,p2,554,0.442
3_towns,Barkhamsted,2018,owner,p3,202,0.161
3_towns,Barkhamsted,2018,owner,p4_or_more,342,0.273
3_towns,Beacon Falls,2000,owner,total,1594,NA
3_towns,Beacon Falls,2000,owner,p1,280,0.176
3_towns,Beacon Falls,2000,owner,p2,547,0.343
3_towns,Beacon Falls,2000,owner,p3,290,0.182
3_towns,Beacon Falls,2000,owner,p4_or_more,477,0.299
3_towns,Beacon Falls,2010,owner,total,1872,NA
3_towns,Beacon Falls,2010,owner,p1,275,0.147
3_towns,Beacon Falls,2010,owner,p2,658,0.351
3_towns,Beacon Falls,2010,owner,p3,308,0.165
3_towns,Beacon Falls,2010,owner,p4_or_more,631,0.337
3_towns,Beacon Falls,2018,owner,total,2094,NA
3_towns,Beacon Falls,2018,owner,p1,504,0.241
3_towns,Beacon Falls,2018,owner,p2,819,0.391
3_towns,Beacon Falls,2018,owner,p3,336,0.16
3_towns,Beacon Falls,2018,owner,p4_or_more,435,0.208
