"level","name","race2","inc_band","value","value_se","statefip.x","statefip.y","share","sharemoe"
"2_counties","Litchfield County","Latino","High",1050,204.682634020606,NA,NA,0.331,0.054
"2_counties","Litchfield County","Other race","Total",1661,221.573071212635,NA,NA,NA,NA
"2_counties","Litchfield County","Other race","Very low",220,80.7428444191543,NA,NA,0.132,0.045
"2_counties","Litchfield County","Other race","Low",229,74.968906675134,NA,NA,0.138,0.041
"2_counties","Litchfield County","Other race","Mid-low",292,91.8744366017234,NA,NA,0.176,0.05
"2_counties","Litchfield County","Other race","Mid-high",438,111.334894852566,NA,NA,0.264,0.057
"2_counties","Litchfield County","Other race","High",482,127.078474668282,NA,NA,0.29,0.066
"2_counties","Middlesex County","White","Total",57714,1222.36241770716,NA,NA,NA,NA
"2_counties","Middlesex County","White","Very low",7386,443.355673604559,NA,NA,0.128,0.007
"2_counties","Middlesex County","White","Low",6300,410.509844558405,NA,NA,0.109,0.007
"2_counties","Middlesex County","White","Mid-low",9185,527.0922541476,NA,NA,0.159,0.008
"2_counties","Middlesex County","White","Mid-high",10886,522.344429532809,NA,NA,0.189,0.008
"2_counties","Middlesex County","White","High",23957,783.104140569312,NA,NA,0.415,0.01
"2_counties","Middlesex County","Black","Total",3341,381.495728483864,NA,NA,NA,NA
"2_counties","Middlesex County","Black","Very low",1073,212.925662955475,NA,NA,0.321,0.052
"2_counties","Middlesex County","Black","Low",461,155.744450835292,NA,NA,0.138,0.044
"2_counties","Middlesex County","Black","Mid-low",706,178.592814170655,NA,NA,0.211,0.048
"2_counties","Middlesex County","Black","Mid-high",490,145.047915719504,NA,NA,0.147,0.04
"2_counties","Middlesex County","Black","High",611,152.098786874265,NA,NA,0.183,0.04
"2_counties","Middlesex County","Latino","Total",3097,336.390810787369,NA,NA,NA,NA
"2_counties","Middlesex County","Latino","Very low",600,171.91660926448,NA,NA,0.194,0.051
"2_counties","Middlesex County","Latino","Low",558,143.219695625456,NA,NA,0.18,0.042
"2_counties","Middlesex County","Latino","Mid-low",341,117.454453698434,NA,NA,0.11,0.036
"2_counties","Middlesex County","Latino","Mid-high",519,122.89588859472,NA,NA,0.168,0.035
"2_counties","Middlesex County","Latino","High",1079,185.194488994045,NA,NA,0.348,0.046
"2_counties","Middlesex County","Other race","Total",2741,337.576984267738,NA,NA,NA,NA
