"hhwt","name","minc","inc_band","hcost","cost_band"
16,"Fairfield County",95645,"Mid-high",4208,"High"
11,"New London County",73490,"Mid-high",2169,"Mid-high"
21,"New London County",73490,"Mid-high",551,"Very low"
19,"New Haven County",69905,"High",6607,"High"
24,"New Haven County",69905,"High",1176,"Mid-low"
15,"Fairfield County",95645,"High",4908,"High"
7,"New London County",73490,"High",4140,"High"
16,"Hartford County",75148,"High",1853,"Mid-high"
6,"New London County",73490,"Low",6546,"High"
12,"Hartford County",75148,"Mid-low",767,"Low"
8,"Fairfield County",95645,"Mid-high",1320,"Mid-low"
14,"Tolland County",87069,"Mid-low",2315,"Mid-high"
18,"New Haven County",69905,"Low",808,"Low"
26,"Litchfield County",79906,"High",1679,"Mid-high"
11,"Hartford County",75148,"High",2372,"High"
19,"New London County",73490,"High",1746,"Mid-high"
14,"Litchfield County",79906,"Mid-low",2638,"High"
12,"Fairfield County",95645,"Mid-high",2204,"Mid-high"
49,"Fairfield County",95645,"Mid-high",3456,"High"
3,"Tolland County",87069,"High",1661,"Mid-low"
39,"New Haven County",69905,"Mid-high",2825,"High"
12,"Hartford County",75148,"High",942,"Mid-low"
12,"Hartford County",75148,"Mid-low",3354,"High"
24,"Fairfield County",95645,"High",5493,"High"
21,"Middlesex County",85898,"High",2860,"High"
27,"Tolland County",87069,"Mid-high",655,"Low"
13,"Hartford County",75148,"Mid-low",1945,"Mid-high"
18,"Hartford County",75148,"High",6234,"High"
54,"New Haven County",69905,"Mid-low",2029,"Mid-high"
13,"New Haven County",69905,"High",1720,"Mid-high"
12,"Hartford County",75148,"High",726,"Low"
22,"New London County",73490,"Mid-low",1436,"Mid-low"
16,"Windham County",66550,"Mid-high",1254,"Mid-low"
15,"Fairfield County",95645,"High",2677,"Mid-high"
12,"Hartford County",75148,"Mid-high",876,"Low"
18,"Hartford County",75148,"Mid-high",1140,"Mid-low"
13,"Fairfield County",95645,"Mid-high",1772,"Mid-low"
22,"New London County",73490,"High",2341,"High"
80,"New London County",73490,"Mid-low",588,"Low"
27,"Hartford County",75148,"High",2227,"Mid-high"
10,"Litchfield County",79906,"High",2455,"High"
13,"Hartford County",75148,"Mid-high",1701,"Mid-high"
23,"New Haven County",69905,"Mid-high",2090,"Mid-high"
23,"Litchfield County",79906,"High",1769,"Mid-high"
18,"New Haven County",69905,"Mid-high",2077,"Mid-high"
10,"Windham County",66550,"High",707,"Low"
11,"Tolland County",87069,"Mid-low",781,"Low"
2,"Middlesex County",85898,"High",3010,"High"
8,"Fairfield County",95645,"Low",433,"Very low"
4,"Litchfield County",79906,"High",3864,"High"
6,"New London County",73490,"High",1805,"Mid-high"
40,"New Haven County",69905,"Mid-low",1089,"Mid-low"
15,"Hartford County",75148,"Mid-high",1400,"Mid-low"
8,"Fairfield County",95645,"Mid-low",4215,"High"
10,"Fairfield County",95645,"Mid-high",2669,"Mid-high"
23,"New Haven County",69905,"High",1331,"Mid-low"
61,"Fairfield County",95645,"Mid-low",1947,"Mid-high"
5,"Fairfield County",95645,"Very low",3050,"High"
14,"Middlesex County",85898,"Low",582,"Very low"
14,"Fairfield County",95645,"Mid-low",1253,"Mid-low"
14,"Fairfield County",95645,"Low",646,"Very low"
21,"New Haven County",69905,"Mid-low",446,"Very low"
12,"Hartford County",75148,"High",1999,"Mid-high"
10,"New Haven County",69905,"Low",708,"Low"
22,"Fairfield County",95645,"Very low",1088,"Low"
6,"Hartford County",75148,"High",1517,"Mid-high"
16,"Fairfield County",95645,"Mid-high",2077,"Mid-high"
21,"New Haven County",69905,"High",1699,"Mid-high"
12,"Tolland County",87069,"High",665,"Low"
16,"Hartford County",75148,"Mid-high",1227,"Mid-low"
24,"New Haven County",69905,"High",2188,"High"
14,"New London County",73490,"High",4593,"High"
23,"Fairfield County",95645,"Mid-high",2246,"Mid-high"
12,"New London County",73490,"High",629,"Low"
20,"Hartford County",75148,"High",2978,"High"
12,"Fairfield County",95645,"High",3983,"High"
13,"New London County",73490,"High",1636,"Mid-high"
5,"Windham County",66550,"High",1864,"Mid-high"
13,"Hartford County",75148,"Mid-low",566,"Low"
13,"Fairfield County",95645,"Mid-high",2086,"Mid-high"
15,"Hartford County",75148,"High",1931,"Mid-high"
20,"New Haven County",69905,"Very low",836,"Low"
12,"Fairfield County",95645,"High",3451,"High"
48,"Tolland County",87069,"High",4273,"High"
14,"New Haven County",69905,"High",2256,"High"
13,"Middlesex County",85898,"Mid-high",2017,"Mid-high"
12,"New Haven County",69905,"High",2111,"High"
9,"New Haven County",69905,"High",805,"Low"
26,"Fairfield County",95645,"Mid-high",1074,"Low"
14,"Fairfield County",95645,"High",2967,"High"
13,"Hartford County",75148,"High",2261,"High"
19,"New Haven County",69905,"Mid-high",2077,"Mid-high"
13,"Litchfield County",79906,"High",2557,"High"
12,"Hartford County",75148,"High",3351,"High"
13,"Fairfield County",95645,"Mid-low",2648,"Mid-high"
16,"New Haven County",69905,"Mid-high",202,"Very low"
15,"Fairfield County",95645,"Mid-low",1120,"Low"
13,"Fairfield County",95645,"Low",1581,"Mid-low"
13,"Hartford County",75148,"High",413,"Very low"
20,"Litchfield County",79906,"Mid-low",1406,"Mid-low"
13,"Hartford County",75148,"High",4127,"High"
13,"Middlesex County",85898,"Mid-high",1659,"Mid-low"
16,"Fairfield County",95645,"High",2281,"Mid-high"
11,"Hartford County",75148,"High",41,"Very low"
13,"Fairfield County",95645,"High",1569,"Mid-low"
11,"New Haven County",69905,"High",865,"Low"
26,"Fairfield County",95645,"High",669,"Very low"
24,"Hartford County",75148,"High",5908,"High"
10,"Fairfield County",95645,"High",3624,"High"
56,"New Haven County",69905,"High",2396,"High"
25,"Litchfield County",79906,"Mid-high",532,"Very low"
13,"Hartford County",75148,"High",2804,"High"
13,"New London County",73490,"Mid-low",837,"Low"
14,"Litchfield County",79906,"High",2072,"Mid-high"
21,"Hartford County",75148,"Mid-high",495,"Very low"
10,"Hartford County",75148,"High",826,"Low"
12,"New London County",73490,"Mid-low",821,"Low"
9,"New Haven County",69905,"Mid-high",2229,"High"
10,"New Haven County",69905,"High",3620,"High"
13,"Hartford County",75148,"High",1047,"Mid-low"
12,"Hartford County",75148,"Very low",779,"Low"
14,"Fairfield County",95645,"High",2513,"Mid-high"
6,"Fairfield County",95645,"High",1824,"Mid-low"
20,"New Haven County",69905,"High",1845,"Mid-high"
16,"New London County",73490,"Mid-high",2079,"Mid-high"
10,"Hartford County",75148,"Low",728,"Low"
9,"Fairfield County",95645,"Low",906,"Low"
14,"Fairfield County",95645,"Mid-high",1661,"Mid-low"
15,"Fairfield County",95645,"High",2830,"Mid-high"
13,"New Haven County",69905,"High",4221,"High"
12,"New London County",73490,"High",1699,"Mid-high"
16,"New London County",73490,"High",2904,"High"
25,"Hartford County",75148,"High",2614,"High"
16,"Fairfield County",95645,"High",4934,"High"
22,"New Haven County",69905,"High",3473,"High"
72,"Tolland County",87069,"Low",735,"Low"
14,"Fairfield County",95645,"High",5025,"High"
7,"Hartford County",75148,"Mid-high",1548,"Mid-high"
25,"Fairfield County",95645,"High",3234,"High"
13,"Fairfield County",95645,"High",2110,"Mid-high"
16,"Litchfield County",79906,"Mid-high",4010,"High"
15,"Fairfield County",95645,"High",2218,"Mid-high"
13,"Fairfield County",95645,"Mid-high",1312,"Mid-low"
14,"Hartford County",75148,"Low",386,"Very low"
7,"Middlesex County",85898,"High",2900,"High"
11,"Litchfield County",79906,"High",2009,"Mid-high"
15,"Litchfield County",79906,"High",2763,"High"
11,"Middlesex County",85898,"High",1496,"Mid-low"
14,"Hartford County",75148,"High",2324,"High"
31,"Middlesex County",85898,"Mid-high",2362,"Mid-high"
12,"Hartford County",75148,"High",1356,"Mid-low"
22,"New Haven County",69905,"Mid-high",3438,"High"
9,"Middlesex County",85898,"Very low",355,"Very low"
20,"Tolland County",87069,"Very low",339,"Very low"
12,"Fairfield County",95645,"Very low",762,"Low"
16,"Tolland County",87069,"High",2640,"High"
16,"Hartford County",75148,"Very low",747,"Low"
21,"Litchfield County",79906,"Low",595,"Very low"
14,"Hartford County",75148,"High",1541,"Mid-high"
19,"Hartford County",75148,"Mid-high",1055,"Mid-low"
35,"New Haven County",69905,"High",2631,"High"
22,"New Haven County",69905,"High",2045,"Mid-high"
20,"New Haven County",69905,"Mid-high",8472,"High"
14,"Fairfield County",95645,"Mid-low",4327,"High"
13,"New London County",73490,"High",3288,"High"
5,"Windham County",66550,"Mid-high",2371,"High"
29,"Fairfield County",95645,"High",2261,"Mid-high"
52,"Middlesex County",85898,"Very low",1495,"Mid-low"
16,"Hartford County",75148,"High",2183,"Mid-high"
13,"New London County",73490,"High",2062,"Mid-high"
10,"Middlesex County",85898,"High",1270,"Mid-low"
13,"Hartford County",75148,"Mid-high",839,"Low"
8,"Litchfield County",79906,"High",4343,"High"
18,"Fairfield County",95645,"High",3081,"High"
13,"Hartford County",75148,"Very low",952,"Mid-low"
12,"Hartford County",75148,"High",3650,"High"
56,"Litchfield County",79906,"Mid-low",1959,"Mid-high"
13,"Fairfield County",95645,"Mid-high",3356,"High"
45,"Fairfield County",95645,"High",2689,"Mid-high"
24,"New Haven County",69905,"Mid-high",2068,"Mid-high"
21,"New London County",73490,"Very low",838,"Low"
15,"Fairfield County",95645,"High",4260,"High"
11,"Hartford County",75148,"Mid-high",2374,"High"
11,"Litchfield County",79906,"Mid-high",656,"Low"
5,"Litchfield County",79906,"High",1303,"Mid-low"
11,"Fairfield County",95645,"Mid-low",1342,"Mid-low"
13,"New Haven County",69905,"High",2599,"High"
9,"Fairfield County",95645,"Mid-high",4611,"High"
13,"Fairfield County",95645,"Mid-low",279,"Very low"
10,"Hartford County",75148,"Mid-high",1725,"Mid-high"
20,"Hartford County",75148,"High",2324,"High"
55,"Fairfield County",95645,"High",2377,"Mid-high"
10,"Fairfield County",95645,"High",2607,"Mid-high"
13,"Litchfield County",79906,"Mid-high",846,"Low"
12,"Fairfield County",95645,"High",3280,"High"
9,"Fairfield County",95645,"High",3364,"High"
15,"New Haven County",69905,"High",1735,"Mid-high"
19,"Hartford County",75148,"High",3822,"High"
19,"Middlesex County",85898,"High",2857,"High"
12,"Hartford County",75148,"Low",809,"Low"
46,"Hartford County",75148,"High",1802,"Mid-high"
16,"Windham County",66550,"Mid-high",2169,"High"
15,"Fairfield County",95645,"High",2082,"Mid-high"
15,"New Haven County",69905,"High",1789,"Mid-high"
10,"Fairfield County",95645,"Mid-high",432,"Very low"
12,"Fairfield County",95645,"High",1453,"Mid-low"
13,"Fairfield County",95645,"Mid-high",2179,"Mid-high"
13,"Hartford County",75148,"High",2279,"High"
19,"Middlesex County",85898,"High",985,"Low"
29,"New Haven County",69905,"High",3809,"High"
23,"Hartford County",75148,"High",1114,"Mid-low"
20,"Middlesex County",85898,"High",698,"Low"
19,"Middlesex County",85898,"High",1826,"Mid-high"
14,"New Haven County",69905,"Low",678,"Low"
8,"Hartford County",75148,"High",804,"Low"
13,"Fairfield County",95645,"High",3410,"High"
11,"Hartford County",75148,"High",2107,"Mid-high"
44,"New Haven County",69905,"Low",2079,"Mid-high"
37,"New Haven County",69905,"High",2024,"Mid-high"
19,"Fairfield County",95645,"High",2461,"Mid-high"
20,"Hartford County",75148,"High",1963,"Mid-high"
14,"Hartford County",75148,"Very low",660,"Low"
17,"Fairfield County",95645,"Low",1111,"Low"
12,"Hartford County",75148,"High",1447,"Mid-low"
8,"Fairfield County",95645,"High",3324,"High"
12,"Hartford County",75148,"High",3060,"High"
18,"New Haven County",69905,"Mid-low",1103,"Mid-low"
17,"Middlesex County",85898,"High",3575,"High"
12,"Hartford County",75148,"High",3456,"High"
26,"Fairfield County",95645,"Very low",352,"Very low"
4,"Fairfield County",95645,"Mid-high",961,"Low"
11,"New Haven County",69905,"Mid-low",905,"Mid-low"
16,"Fairfield County",95645,"High",1500,"Mid-low"
13,"Litchfield County",79906,"Mid-low",731,"Low"
20,"New Haven County",69905,"Very low",618,"Low"
24,"New Haven County",69905,"Mid-high",2361,"High"
16,"Fairfield County",95645,"Mid-high",2374,"Mid-high"
22,"Hartford County",75148,"High",1147,"Mid-low"
64,"Litchfield County",79906,"High",2465,"High"
7,"Fairfield County",95645,"Mid-low",1193,"Low"
20,"Tolland County",87069,"Mid-low",1627,"Mid-low"
12,"New Haven County",69905,"High",2100,"High"
10,"New Haven County",69905,"High",1008,"Mid-low"
13,"New London County",73490,"High",2571,"High"
21,"New London County",73490,"High",2282,"High"
13,"New Haven County",69905,"High",2222,"High"
21,"New Haven County",69905,"High",827,"Low"
12,"Hartford County",75148,"Mid-low",1757,"Mid-high"
16,"Hartford County",75148,"Mid-high",1264,"Mid-low"
14,"Litchfield County",79906,"Mid-high",1296,"Mid-low"
10,"Middlesex County",85898,"High",2245,"Mid-high"
14,"New Haven County",69905,"High",1425,"Mid-high"
6,"Fairfield County",95645,"Mid-low",785,"Low"
20,"Hartford County",75148,"Low",1785,"Mid-high"
27,"Hartford County",75148,"High",2976,"High"
16,"New Haven County",69905,"High",1485,"Mid-high"
16,"New Haven County",69905,"High",2529,"High"
21,"New Haven County",69905,"Mid-low",2229,"High"
15,"New Haven County",69905,"Mid-high",984,"Mid-low"
8,"Hartford County",75148,"High",2151,"Mid-high"
13,"Windham County",66550,"High",2027,"High"
14,"Litchfield County",79906,"Mid-high",1805,"Mid-high"
8,"Fairfield County",95645,"High",2652,"Mid-high"
64,"New London County",73490,"Mid-high",514,"Very low"
14,"New Haven County",69905,"Very low",871,"Low"
12,"Fairfield County",95645,"High",3050,"High"
25,"New London County",73490,"High",1671,"Mid-high"
22,"New Haven County",69905,"Mid-low",367,"Very low"
16,"Hartford County",75148,"Mid-high",1936,"Mid-high"
13,"Windham County",66550,"Mid-high",2116,"High"
52,"New London County",73490,"Low",1196,"Mid-low"
23,"New Haven County",69905,"High",1471,"Mid-high"
14,"Hartford County",75148,"High",4689,"High"
10,"Litchfield County",79906,"Mid-high",3290,"High"
12,"Fairfield County",95645,"Very low",421,"Very low"
19,"Windham County",66550,"Mid-high",1379,"Mid-high"
16,"New Haven County",69905,"High",1677,"Mid-high"
19,"Hartford County",75148,"Low",1965,"Mid-high"
11,"New Haven County",69905,"Mid-high",3031,"High"
12,"Fairfield County",95645,"Mid-low",1926,"Mid-high"
12,"New Haven County",69905,"Mid-low",510,"Very low"
14,"Hartford County",75148,"High",2259,"High"
9,"Windham County",66550,"High",747,"Low"
35,"New Haven County",69905,"High",3233,"High"
20,"New Haven County",69905,"High",2652,"High"
12,"Hartford County",75148,"Mid-high",1191,"Mid-low"
11,"Fairfield County",95645,"High",3462,"High"
62,"Fairfield County",95645,"High",2216,"Mid-high"
20,"Hartford County",75148,"Mid-low",1365,"Mid-low"
43,"Tolland County",87069,"High",2283,"Mid-high"
22,"New Haven County",69905,"Mid-low",772,"Low"
13,"Hartford County",75148,"High",1985,"Mid-high"
14,"Hartford County",75148,"High",3052,"High"
15,"New Haven County",69905,"High",1894,"Mid-high"
10,"New London County",73490,"High",1811,"Mid-high"
15,"Hartford County",75148,"High",2467,"High"
12,"New London County",73490,"Low",2628,"High"
14,"Hartford County",75148,"High",2634,"High"
25,"Middlesex County",85898,"High",2962,"High"
38,"Hartford County",75148,"Low",2330,"High"
17,"Fairfield County",95645,"High",1608,"Mid-low"
10,"Fairfield County",95645,"High",2907,"High"
20,"New London County",73490,"High",1317,"Mid-low"
10,"Middlesex County",85898,"Mid-low",546,"Very low"
15,"Hartford County",75148,"High",1583,"Mid-high"
19,"Hartford County",75148,"High",3570,"High"
4,"Fairfield County",95645,"High",2962,"High"
12,"Fairfield County",95645,"High",9007,"High"
12,"Litchfield County",79906,"Mid-low",1442,"Mid-low"
16,"Fairfield County",95645,"High",4653,"High"
21,"Litchfield County",79906,"High",1595,"Mid-low"
15,"Hartford County",75148,"Mid-high",352,"Very low"
20,"Windham County",66550,"High",1707,"Mid-high"
14,"Fairfield County",95645,"High",6041,"High"
20,"New Haven County",69905,"Mid-high",815,"Low"
13,"New Haven County",69905,"High",1203,"Mid-low"
13,"Hartford County",75148,"High",347,"Very low"
10,"Fairfield County",95645,"High",3685,"High"
6,"Hartford County",75148,"Mid-low",1030,"Mid-low"
58,"New Haven County",69905,"High",4433,"High"
14,"Litchfield County",79906,"Mid-high",3290,"High"
12,"Fairfield County",95645,"High",8475,"High"
22,"Fairfield County",95645,"High",4332,"High"
13,"Tolland County",87069,"Low",1023,"Low"
8,"Hartford County",75148,"Mid-low",1294,"Mid-low"
7,"Fairfield County",95645,"Mid-high",2306,"Mid-high"
14,"New Haven County",69905,"High",1968,"Mid-high"
14,"Hartford County",75148,"Very low",915,"Low"
12,"New Haven County",69905,"High",5153,"High"
12,"Hartford County",75148,"High",924,"Low"
11,"Middlesex County",85898,"Mid-high",1777,"Mid-high"
30,"New London County",73490,"High",426,"Very low"
41,"New Haven County",69905,"Mid-low",1557,"Mid-high"
17,"Hartford County",75148,"Mid-low",1992,"Mid-high"
23,"Middlesex County",85898,"High",3025,"High"
12,"Hartford County",75148,"Low",281,"Very low"
23,"Tolland County",87069,"High",1619,"Mid-low"
53,"Hartford County",75148,"High",1746,"Mid-high"
21,"New London County",73490,"Mid-low",669,"Low"
13,"Windham County",66550,"High",1926,"Mid-high"
14,"Hartford County",75148,"High",3581,"High"
43,"Litchfield County",79906,"High",1809,"Mid-high"
7,"Windham County",66550,"Mid-high",1520,"Mid-high"
18,"Fairfield County",95645,"High",2338,"Mid-high"
13,"New London County",73490,"High",1501,"Mid-high"
23,"New Haven County",69905,"High",1350,"Mid-low"
20,"Hartford County",75148,"Very low",1361,"Mid-low"
12,"New Haven County",69905,"High",3159,"High"
26,"Hartford County",75148,"Mid-high",2213,"Mid-high"
15,"Litchfield County",79906,"Mid-low",814,"Low"
15,"Fairfield County",95645,"High",1851,"Mid-low"
13,"Fairfield County",95645,"High",1304,"Mid-low"
8,"Hartford County",75148,"High",723,"Low"
22,"Fairfield County",95645,"High",2695,"Mid-high"
8,"Hartford County",75148,"Low",1281,"Mid-low"
12,"Fairfield County",95645,"High",8941,"High"
6,"Litchfield County",79906,"Mid-low",1055,"Mid-low"
12,"Hartford County",75148,"High",1153,"Mid-low"
13,"New Haven County",69905,"High",3269,"High"
60,"Windham County",66550,"Mid-high",1514,"Mid-high"
21,"Windham County",66550,"High",931,"Mid-low"
21,"Fairfield County",95645,"Mid-low",1319,"Mid-low"
13,"Fairfield County",95645,"High",3119,"High"
13,"Fairfield County",95645,"High",3135,"High"
16,"Middlesex County",85898,"High",2261,"Mid-high"
43,"New Haven County",69905,"High",3253,"High"
11,"Hartford County",75148,"Low",802,"Low"
24,"Fairfield County",95645,"High",2973,"High"
12,"Fairfield County",95645,"Very low",1899,"Mid-low"
15,"Fairfield County",95645,"High",1695,"Mid-low"
25,"New Haven County",69905,"High",2082,"Mid-high"
5,"Litchfield County",79906,"High",3088,"High"
10,"Windham County",66550,"Mid-low",1000,"Mid-low"
15,"New London County",73490,"High",3720,"High"
13,"New Haven County",69905,"High",2620,"High"
16,"Fairfield County",95645,"Mid-low",556,"Very low"
40,"New Haven County",69905,"High",2526,"High"
14,"Fairfield County",95645,"High",4835,"High"
12,"Litchfield County",79906,"Very low",987,"Low"
13,"Hartford County",75148,"Mid-high",2638,"High"
28,"Fairfield County",95645,"Mid-low",2065,"Mid-high"
67,"New Haven County",69905,"High",1989,"Mid-high"
16,"New London County",73490,"Mid-low",601,"Low"
12,"Middlesex County",85898,"High",1833,"Mid-high"
35,"Hartford County",75148,"High",1296,"Mid-low"
14,"Fairfield County",95645,"Mid-low",2131,"Mid-high"
7,"Fairfield County",95645,"High",2268,"Mid-high"
15,"Fairfield County",95645,"High",11143,"High"
39,"New London County",73490,"High",1308,"Mid-low"
5,"Litchfield County",79906,"Mid-high",443,"Very low"
59,"New Haven County",69905,"Mid-low",1744,"Mid-high"
17,"Litchfield County",79906,"Very low",634,"Low"
12,"Hartford County",75148,"High",1893,"Mid-high"
9,"New Haven County",69905,"High",1337,"Mid-low"
12,"New Haven County",69905,"Mid-high",5113,"High"
105,"Fairfield County",95645,"Mid-high",1433,"Mid-low"
9,"Hartford County",75148,"High",4267,"High"
15,"Hartford County",75148,"High",3989,"High"
51,"New London County",73490,"Mid-low",843,"Low"
14,"Fairfield County",95645,"Mid-low",3550,"High"
16,"New Haven County",69905,"High",1129,"Mid-low"
8,"Fairfield County",95645,"High",4161,"High"
24,"Litchfield County",79906,"Mid-high",514,"Very low"
13,"Middlesex County",85898,"Mid-high",2666,"High"
12,"New London County",73490,"High",3729,"High"
22,"New Haven County",69905,"Mid-low",1436,"Mid-high"
12,"New London County",73490,"Mid-high",3655,"High"
14,"Fairfield County",95645,"Low",886,"Low"
23,"Fairfield County",95645,"High",1188,"Low"
36,"New Haven County",69905,"Low",1695,"Mid-high"
12,"Hartford County",75148,"Very low",628,"Low"
8,"New Haven County",69905,"Mid-high",1150,"Mid-low"
24,"Litchfield County",79906,"High",2176,"Mid-high"
9,"Fairfield County",95645,"Very low",2881,"High"
11,"New Haven County",69905,"Mid-high",1653,"Mid-high"
22,"Fairfield County",95645,"Very low",341,"Very low"
18,"New London County",73490,"High",1032,"Mid-low"
22,"Fairfield County",95645,"Mid-low",476,"Very low"
13,"Fairfield County",95645,"Mid-high",2583,"Mid-high"
11,"Litchfield County",79906,"Very low",660,"Low"
19,"Hartford County",75148,"High",3103,"High"
13,"New Haven County",69905,"High",1806,"Mid-high"
78,"Fairfield County",95645,"High",3394,"High"
9,"New London County",73490,"Low",4907,"High"
20,"Fairfield County",95645,"Very low",3976,"High"
10,"Fairfield County",95645,"High",2676,"Mid-high"
12,"Hartford County",75148,"High",1256,"Mid-low"
12,"New Haven County",69905,"High",751,"Low"
11,"New Haven County",69905,"High",1558,"Mid-high"
10,"Fairfield County",95645,"High",2216,"Mid-high"
14,"Hartford County",75148,"Mid-high",746,"Low"
14,"Hartford County",75148,"High",9654,"High"
76,"Middlesex County",85898,"Mid-low",616,"Very low"
12,"Hartford County",75148,"High",799,"Low"
11,"New Haven County",69905,"Mid-high",126,"Very low"
14,"Hartford County",75148,"Low",352,"Very low"
18,"New Haven County",69905,"Mid-low",1377,"Mid-low"
15,"Hartford County",75148,"High",1582,"Mid-high"
21,"New London County",73490,"High",2275,"High"
14,"Hartford County",75148,"Mid-high",1913,"Mid-high"
8,"Middlesex County",85898,"Mid-low",2724,"High"
9,"New Haven County",69905,"Mid-low",2534,"High"
12,"Hartford County",75148,"Very low",2138,"Mid-high"
14,"Tolland County",87069,"High",2301,"Mid-high"
17,"New Haven County",69905,"High",1643,"Mid-high"
19,"Hartford County",75148,"High",2458,"High"
22,"New Haven County",69905,"High",2665,"High"
22,"Fairfield County",95645,"Mid-low",1317,"Mid-low"
14,"Hartford County",75148,"High",1719,"Mid-high"
22,"Hartford County",75148,"Mid-high",998,"Mid-low"
15,"Hartford County",75148,"High",4946,"High"
12,"Hartford County",75148,"Mid-low",344,"Very low"
15,"Fairfield County",95645,"Low",622,"Very low"
14,"New Haven County",69905,"Mid-low",2277,"High"
19,"New Haven County",69905,"High",2952,"High"
22,"Fairfield County",95645,"High",1936,"Mid-high"
12,"New London County",73490,"High",952,"Mid-low"
14,"Hartford County",75148,"High",795,"Low"
13,"Hartford County",75148,"Mid-low",1598,"Mid-high"
15,"Windham County",66550,"High",1767,"Mid-high"
15,"Fairfield County",95645,"Mid-low",1637,"Mid-low"
12,"New Haven County",69905,"High",1531,"Mid-high"
14,"Hartford County",75148,"Mid-high",798,"Low"
13,"Litchfield County",79906,"Mid-high",1172,"Mid-low"
14,"New Haven County",69905,"Mid-high",1997,"Mid-high"
26,"New Haven County",69905,"High",1310,"Mid-low"
14,"Fairfield County",95645,"High",2651,"Mid-high"
11,"Litchfield County",79906,"High",659,"Low"
13,"Hartford County",75148,"High",3118,"High"
10,"Fairfield County",95645,"High",1699,"Mid-low"
13,"New Haven County",69905,"High",1109,"Mid-low"
13,"Middlesex County",85898,"High",1346,"Mid-low"
15,"New London County",73490,"Mid-high",2458,"High"
12,"Middlesex County",85898,"High",1809,"Mid-high"
50,"Tolland County",87069,"High",2414,"Mid-high"
13,"New London County",73490,"High",1595,"Mid-high"
14,"Hartford County",75148,"High",997,"Mid-low"
14,"Hartford County",75148,"Low",1304,"Mid-low"
7,"Middlesex County",85898,"Mid-high",1645,"Mid-low"
10,"Middlesex County",85898,"Mid-low",858,"Low"
71,"Hartford County",75148,"High",1215,"Mid-low"
33,"New London County",73490,"High",1584,"Mid-high"
13,"New Haven County",69905,"High",908,"Mid-low"
12,"Fairfield County",95645,"Mid-high",2782,"Mid-high"
6,"New Haven County",69905,"Mid-high",3837,"High"
13,"Tolland County",87069,"High",770,"Low"
12,"New Haven County",69905,"Low",1749,"Mid-high"
26,"Fairfield County",95645,"Mid-high",841,"Low"
46,"Fairfield County",95645,"Very low",2938,"High"
26,"Hartford County",75148,"Mid-low",1732,"Mid-high"
12,"Hartford County",75148,"Mid-low",2253,"Mid-high"
13,"Hartford County",75148,"Mid-high",1518,"Mid-high"
18,"Tolland County",87069,"High",1507,"Mid-low"
12,"New Haven County",69905,"Mid-high",475,"Very low"
15,"Litchfield County",79906,"High",2594,"High"
25,"Fairfield County",95645,"High",2804,"Mid-high"
16,"New Haven County",69905,"Very low",1248,"Mid-low"
50,"Fairfield County",95645,"High",2906,"High"
12,"Hartford County",75148,"High",3938,"High"
43,"Hartford County",75148,"High",1457,"Mid-low"
13,"Fairfield County",95645,"Low",1027,"Low"
21,"Windham County",66550,"High",1065,"Mid-low"
17,"Hartford County",75148,"High",4153,"High"
12,"New Haven County",69905,"High",3153,"High"
27,"Litchfield County",79906,"Mid-low",545,"Very low"
16,"Fairfield County",95645,"High",2090,"Mid-high"
65,"New Haven County",69905,"High",2541,"High"
21,"Fairfield County",95645,"High",2743,"Mid-high"
13,"Fairfield County",95645,"Low",5099,"High"
35,"Fairfield County",95645,"Mid-high",1836,"Mid-low"
12,"New Haven County",69905,"High",3114,"High"
27,"Tolland County",87069,"Mid-high",1619,"Mid-low"
64,"New Haven County",69905,"Mid-low",864,"Low"
12,"Fairfield County",95645,"Mid-low",825,"Low"
10,"Fairfield County",95645,"Very low",1077,"Low"
12,"Middlesex County",85898,"Mid-low",592,"Very low"
71,"New Haven County",69905,"Mid-low",1565,"Mid-high"
23,"Hartford County",75148,"High",3103,"High"
8,"New London County",73490,"Low",1955,"Mid-high"
11,"New London County",73490,"High",2968,"High"
12,"Hartford County",75148,"Very low",653,"Low"
12,"Hartford County",75148,"Low",979,"Mid-low"
13,"New Haven County",69905,"Mid-low",2146,"High"
25,"Fairfield County",95645,"High",4951,"High"
11,"Litchfield County",79906,"Mid-high",1460,"Mid-low"
16,"Fairfield County",95645,"High",2222,"Mid-high"
5,"Litchfield County",79906,"Mid-high",2412,"High"
22,"New Haven County",69905,"High",3994,"High"
9,"New Haven County",69905,"Low",906,"Mid-low"
13,"Fairfield County",95645,"Mid-high",1791,"Mid-low"
23,"Litchfield County",79906,"High",1501,"Mid-low"
10,"Hartford County",75148,"Low",1976,"Mid-high"
8,"Litchfield County",79906,"Mid-high",5015,"High"
10,"Hartford County",75148,"Mid-low",835,"Low"
12,"Fairfield County",95645,"Mid-high",3327,"High"
22,"New Haven County",69905,"Mid-low",1712,"Mid-high"
30,"New London County",73490,"Mid-low",2476,"High"
5,"Litchfield County",79906,"High",2211,"Mid-high"
21,"New London County",73490,"High",2448,"High"
8,"New London County",73490,"Mid-low",670,"Low"
41,"Fairfield County",95645,"Mid-high",2839,"Mid-high"
14,"Fairfield County",95645,"High",122,"Very low"
12,"Fairfield County",95645,"Mid-low",2507,"Mid-high"
17,"New London County",73490,"Mid-low",696,"Low"
29,"Hartford County",75148,"High",1483,"Mid-low"
