"hhwt","name","minc","inc_band","hcost","cost_band"
11,"New Haven County",69905,"Mid-high",715,"Low"
28,"Fairfield County",95645,"High",3977,"High"
21,"Fairfield County",95645,"Mid-low",784,"Low"
25,"Fairfield County",95645,"Mid-low",1501,"Mid-low"
8,"Fairfield County",95645,"High",3939,"High"
22,"Hartford County",75148,"Mid-high",904,"Low"
7,"Fairfield County",95645,"High",1761,"Mid-low"
7,"Hartford County",75148,"Mid-high",668,"Low"
15,"Fairfield County",95645,"High",2458,"Mid-high"
23,"Hartford County",75148,"Mid-low",535,"Very low"
8,"Hartford County",75148,"Mid-high",1731,"Mid-high"
20,"New Haven County",69905,"Mid-high",2129,"High"
25,"New Haven County",69905,"High",1522,"Mid-high"
9,"Fairfield County",95645,"Very low",2027,"Mid-high"
9,"Hartford County",75148,"High",2173,"Mid-high"
16,"Fairfield County",95645,"High",4947,"High"
20,"Fairfield County",95645,"Mid-low",695,"Very low"
14,"Tolland County",87069,"Mid-low",2459,"Mid-high"
27,"Fairfield County",95645,"High",2936,"High"
25,"New Haven County",69905,"High",1650,"Mid-high"
13,"New Haven County",69905,"Mid-high",569,"Low"
10,"New Haven County",69905,"High",1998,"Mid-high"
13,"Fairfield County",95645,"High",4258,"High"
14,"Fairfield County",95645,"High",4465,"High"
13,"Fairfield County",95645,"High",8256,"High"
8,"Hartford County",75148,"High",1171,"Mid-low"
15,"Tolland County",87069,"Mid-low",1112,"Mid-low"
4,"New London County",73490,"High",946,"Mid-low"
13,"New Haven County",69905,"Low",939,"Mid-low"
18,"Tolland County",87069,"High",2660,"High"
14,"Litchfield County",79906,"Mid-low",1639,"Mid-high"
8,"Litchfield County",79906,"Mid-high",517,"Very low"
11,"Hartford County",75148,"Mid-low",731,"Low"
5,"Windham County",66550,"High",1526,"Mid-high"
70,"Hartford County",75148,"Mid-low",810,"Low"
11,"Litchfield County",79906,"Mid-low",643,"Low"
14,"Fairfield County",95645,"Low",2561,"Mid-high"
9,"Hartford County",75148,"High",1698,"Mid-high"
14,"New Haven County",69905,"Mid-low",969,"Mid-low"
44,"Litchfield County",79906,"High",2665,"High"
23,"Hartford County",75148,"High",832,"Low"
