County,City,CityOld,ProjectID,SubsidyClass,SubsidySubclass,EndDateList,Total,UnitLower,UnitUpper,ProjectName,Latitude,Longitude,RowID,Clean_Proj,Group Flag,ProjectID2
fairfield,stamford,Stamford,220933dc-1267-4f5e-8f74-a148a61d5b9b,SRO,nan,nan,14,1.0,14.0,Woodland Avenue,41.0534302,-73.53873409999999,681,woodland avenue,,cf82718f-e61b-4529-b741-7203520d05fe
fairfield,stamford,Stamford,2f288471-6955-4408-800e-06b4831b5339,SRO,nan,nan,5,1.0,5.0,Stone Street,41.0534302,-73.53873409999999,682,stone street,,5efdfca3-e44e-47fb-b0b4-ede6b5c7c939
fairfield,stamford,Stamford,4ade6cbb-2767-4e2f-82b8-9dcd75f691f3,Public_Housing,nan,nan,152,9.0,9.0,Palmer Square,41.0534302,-73.53873409999999,683,palmer square,stamford683,3ccde551-bf80-41a4-8e55-bdfdc28e4fc4
fairfield,stamford,Stamford,a5328a1e-8c65-470c-b990-00c457bb7bdd,SRO,nan,nan,10,1.0,10.0,Metcalf House,41.0534302,-73.53873409999999,684,metcalf house,,53f84618-4946-4143-b392-d947cfdec5d0
fairfield,stamford,Stamford,bc5cfa47-eabc-47f4-a3e9-0500fc16912e,Public_Housing,nan,nan,6,1.0,6.0,Taylor Street,41.0534302,-73.53873409999999,685,taylor street,stamford685,1259dde1-f840-42af-be18-497f057d444b
fairfield,stamford,Stamford,e6116e28-de7a-4c49-aed6-f2e805ef601a,Public_Housing,nan,nan,156,5.0,5.0,Park 215,41.0534302,-73.53873409999999,686,park 215,stamford686,96341966-3764-489b-b475-8d06cfd0feb1
fairfield,stamford,Stamford,45a54076-f4bc-4827-b5e3-9a28ff8bf6f2,Deed,30 years,(),1,1.0,1.0,45a54076-f4bc-4827-b5e3-9a28ff8bf6f2,41.05374440000001,-73.5396028,687,45a54076f4bc4827b5e39a28ff8bf6f2,,d4f175a3-6deb-4135-9d0b-290abb8c516c
fairfield,stamford,Stamford,eb2b3ab1-e476-4f9e-acbd-8f89adaaf30e,Deed,30 years,(),1,1.0,1.0,eb2b3ab1-e476-4f9e-acbd-8f89adaaf30e,41.053788700000005,-73.5126176,688,eb2b3ab1e4764f9eacbd8f89adaaf30e,,3858506f-3ab0-4084-b00d-0c52a796a467
fairfield,stamford,Stamford,6a8dfda9-2587-46c0-8d0d-d11b2aab0cf4,Section_8_Voucher,Section_8.Project_Based_Voucher,(),35,1.0,35.0,Westwood,41.053871,-73.5594588,689,westwood,stamford689,88b6bdd4-6cb4-4176-855e-9deeb80c3593
fairfield,stamford,Stamford,c02792e6-8acc-4499-9dae-974738e66cae,Deed,30 years,(),6,6.0,6.0,c02792e6-8acc-4499-9dae-974738e66cae,41.053970899999996,-73.52437290000002,690,c02792e68acc44999dae974738e66cae,,053f97a0-551f-4010-90bf-ec95ea3cb5cd
